case_id,file_asal,word_count
case_001,putusan_1048_pid.sus_2024_pn_tjk_20260609175140.pdf,6158
case_002,putusan_1071_pid.sus_2024_pn_bdg_20260609174045.pdf,8293
case_003,putusan_1173_pid.sus_2024_pn_tjk_20260609174136.pdf,15670
case_004,putusan_1244_pid.sus_2024_pn_mks_20260609175342.pdf,12785
case_005,putusan_1250_pid.sus_2024_pn_pbr_20260609175523.pdf,10314
case_006,putusan_1356_pid.sus_2024_pn_pbr_20260609174512.pdf,6419
case_007,putusan_146_pid.sus_2024_pn_pwd_20260609174746.pdf,13203
case_008,putusan_169_pid.sus_2024_pn_lgs_20260609175431.pdf,10352
case_009,putusan_1780_pid.sus_2024_pn_mdn_20260609175607.pdf,31179
case_010,putusan_193_pid.sus_2024_pn_dmk_20260609175325.pdf,6639
case_011,putusan_215_pid.sus_2024_pn_bkl_20260609175631.pdf,9531
case_012,putusan_215_pid.sus_2024_pn_skw_20260609175234.pdf,5895
case_013,putusan_234_pid.sus_2024_pn_pya_20260609174238.pdf,12819
case_014,putusan_2397_pid.sus_2024_pn_mdn_20260609174705.pdf,6403
case_015,putusan_2465_pid.sus_2024_pn_sby_20260609174413.pdf,5100
case_016,putusan_288_pid.sus_2024_pt_tpg_20260609174548.pdf,3629
case_017,putusan_297_pid.sus_2024_pn_pgp_20260609175117.pdf,8219
case_018,putusan_346_pid.sus_2024_pn_cbd_20260609175447.pdf,9813
case_019,putusan_358_pid.sus_2024_pn_rbi_20260609174851.pdf,5736
case_020,putusan_361_pid.sus_2024_pt_jmb_20260609175505.pdf,3058
case_021,putusan_389_pid.sus_2024_pn_bgr_20260609175153.pdf,11127
case_022,putusan_398_pid.sus_2024_pt_tjk_20260609175127.pdf,1978
case_023,putusan_400_pid.sus_2024_pn_pso_20260609175051.pdf,6627
case_024,putusan_408_pid.sus_2024_pn_ckr_(_narkotika_)_20260609175308.pdf,7992
case_025,putusan_566_pid.sus_2024_pn_trg_20260609174313.pdf,5988
case_026,putusan_583_pid.sus_2024_pn_ktp_20260609174952.pdf,6174
case_027,putusan_626_pid.sus_2024_pn_bls_20260609174923.pdf,9371
case_028,putusan_643_pid.sus_2024_pn_trg_20260609175544.pdf,10289
case_029,putusan_663_pid.sus_2024_pn_jkt.tim_20260609175017.pdf,9131
case_030,putusan_800_pid.sus_2024_pn_kis_20260609174211.pdf,7700
case_031,putusan_871_pid.sus_2024_pn_pdg_20260609174442.pdf,4981
case_032,putusan_875_pid.sus_2024_pn_jkt.pst_20260609175252.pdf,7969
